source_file,model,imagery,backbone,license_split,protocol,country,n_patches,pq,sq,rq,f1_5_95,poly_count_delta_mean,poly_count_delta_p50,bnd_err_mean_m,bnd_err_p95_m
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,germany,350,0.394765,0.863128,0.457366,0.355925,6.5286,2.0000,19.0279,72.5072
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,kenya,55,0.002092,0.669097,0.003126,0.001250,112.9091,109.0000,11.6868,22.1600
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,latvia,741,0.388042,0.829896,0.467579,0.331888,5.1120,3.0000,18.1422,60.2917
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,lithuania,528,0.319278,0.793011,0.402615,0.256403,7.6269,4.0000,17.8240,59.5842
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,portugal,10,0.016103,0.581587,0.027687,0.005863,102.0000,78.0000,11.0587,17.6418
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,slovenia,228,0.194372,0.730146,0.266210,0.135832,32.6316,22.0000,10.3500,25.3539
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,south_africa,85,0.483898,0.823268,0.587777,0.409342,5.9176,4.0000,21.5857,74.0578
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,sweden,516,0.425466,0.820056,0.518825,0.358329,6.3721,4.0000,19.1626,63.7477
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,belgium,198,0.402052,0.776752,0.517607,0.312886,13.7778,11.0000,11.9436,31.8537
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,cambodia,25,0.110997,0.609551,0.182097,0.049207,376.5600,349.0000,11.8587,18.7514
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,croatia,353,0.227621,0.697692,0.326249,0.145555,19.4079,9.0000,14.4379,32.3057
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,germany,350,0.366869,0.855481,0.428846,0.326628,6.9914,2.0000,21.1581,87.0896
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,kenya,55,0.001870,0.673600,0.002776,0.001136,140.5636,152.0000,10.5102,20.3217
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,latvia,741,0.357544,0.817499,0.437364,0.300033,5.0540,3.0000,19.6943,64.5775
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,lithuania,528,0.258935,0.783343,0.330551,0.203851,8.4527,4.0000,19.5287,67.4163
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,portugal,10,0.000000,0.000000,0.000000,0.000000,112.0000,78.0000,nan,nan
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,slovenia,228,0.164096,0.721067,0.227574,0.112057,32.4474,18.5000,11.1446,25.3610
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,south_africa,85,0.435564,0.820062,0.531136,0.367253,5.5765,4.0000,21.3942,72.8634
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,heldout_11country,sweden,516,0.403180,0.815803,0.494212,0.337278,6.8508,4.0000,19.5895,64.7942
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,austria,745,0.333629,0.774171,0.43095,0.258033,26.5221,10.0,10.5564,26.9876
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,belgium,198,0.43069,0.777933,0.553634,0.335815,11.1919,9.0,11.3393,30.9753
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,brazil,188,0.335077,0.877796,0.381725,0.306917,4.7979,3.0,41.5053,165.1366
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,cambodia,25,0.164082,0.629714,0.260565,0.080856,350.56,324.0,10.6913,17.8259
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,corsica,258,0.091417,0.782191,0.116874,0.072316,3.314,0.0,17.8662,43.3635
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,croatia,353,0.291513,0.729099,0.399826,0.203712,21.1926,11.0,12.3692,31.4574
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,denmark,332,0.49878,0.845036,0.590248,0.436609,5.1295,4.0,16.8784,59.1277
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,estonia,684,0.425125,0.850251,0.5,0.375358,3.9444,2.0,17.2985,58.2004
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,finland,588,0.488515,0.806234,0.605922,0.401428,6.2772,4.0,14.4109,44.1528
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,france,396,0.480134,0.817626,0.587229,0.402749,8.4621,6.0,16.2258,55.8936
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,germany,350,0.394765,0.863128,0.457366,0.355925,6.5286,2.0,19.0279,72.5072
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,latvia,741,0.388042,0.829896,0.467579,0.331888,5.112,3.0,18.1422,60.2917
s2_b7_augmax_full_22.csv,S2-B7-augmax,s2,efficientnet-b7,full,full_data_23region,lithuania,528,0.319278,0.793011,0.402615,0.256403,7.6269,4.0,17.824,59.5842
